,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,blank
B,,303_off,,,,,305_off,,,,,
C,,303_on,,,,,305_on,,,,,
D,,303_s_on,,,,,305_s_on ,,,,,
E,,303_s_off,,,,,305_s_off,,,,,TJ1
F,,303_s_b,,,,,305_s_b,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
