,1,2,3,4,5,6,7,8,9,10,11,12
A,no_pyc,no_pyc,no_pyc,pyc,pyc,pyc,no_pyc_13,no_pyc_13,no_pyc_13,pyc_13,pyc_13,pyc_13
B,no_pyc,no_pyc,no_pyc,pyc,pyc,pyc,no_pyc_13,no_pyc_13,no_pyc_13,pyc_13,pyc_13,pyc_13
C,no_pyc,no_pyc,no_pyc,pyc,pyc,pyc,no_pyc_13,no_pyc_13,no_pyc_13,pyc_13,pyc_13,pyc_13
D,no_pyc,no_pyc,no_pyc,pyc,pyc,pyc,no_pyc_13,no_pyc_13,no_pyc_13,pyc_13,pyc_13,pyc_13
E,no_pyc,no_pyc,no_pyc,pyc,pyc,pyc,no_pyc_13,no_pyc_13,no_pyc_13,pyc_13,pyc_13,pyc_13
F,Std_1,Std_2,Std_3,Std_4,Std_5,,,,,,,
G,P+,P+,P+,N+,N+,N+,P-,P-,P-,N-,N-,N-
H,P+,P+,P+,N+,N+,N+,P-,P-,P-,N-,N-,N-
