,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,m_1,m_2,m_3,m_4,,,,
B,,,,,m_1,m_2,m_3,m_4,,blank,blank,blank
C,,,,,m_1,m_2,m_3,m_4,,,,
D,,,,,,,,,i_1,i_2,i_3,i_4
E,h_1,,h_1,h_1,,l_1,l_1,l_1,i_1,i_2,i_3,i_4
F,h_2,,h_2,h_2,,l_2,l_2,l_2,i_1,i_2,i_3,i_4
G,h_3,,h_3,h_3,,l_3,l_3,l_3,,,,
H,h_4,,h_4,h_4,,l_4,l_4,l_4,,,,
