,1,2,3,4,5,6,7,8,9,10,11,12
A,P++,P++,P++,N++,N++,N++,Std_1,20x-Std_1,,,,
B,P+-,P+-,P+-,N+-,N+-,N+-,Std_2,20x-Std_2,,,,
C,P-+,P-+,P-+,N-+,N-+,N-+,Std_3,20x-Std_3,,,,
D,P--,P--,P--,N--,N--,N--,Std_4,20x-Std_4,,,,
E,20x-P++,20x-P++,20x-P++,20x-N++,20x-N++,20x-N++,Std_5,20x-Std_5,,,,
F,20x-P+-,20x-P+-,20x-P+-,20x-N+-,20x-N+-,20x-N+-,,,,,,
G,20x-P-+,20x-P-+,20x-P-+,20x-N-+,20x-N-+,20x-N-+,,,,,,
H,20x-P--,20x-P--,20x-P--,20x-N--,20x-N--,20x-N--,,,,,,
