,1,2,3,4,5,6,7,8,9,10,11,12
A,blank,,p17_1,p17_2,,,,,p17_3,p17_4,p17_5,p17_6
B,blank,,p17_1,p17_2,,,,,p17_3,p17_4,p17_5,p17_6
C,blank,,p17_1,p17_2,,,,,p17_3,p17_4,p17_5,p17_6
D,blank,,p17_1,p17_2,,,,,p17_3,p17_4,p17_5,p17_6
E,p13_1,,p13_2,p13_3,p13_4,p13_5,,,,,BL,TJ1
F,p13_1,,p13_2,p13_3,p13_4,p13_5,,,,,BL,TJ1
G,p13_1,,p13_2,p13_3,p13_4,p13_5,,,,,BL,TJ1
H,p13_1,,p13_2,p13_3,p13_4,p13_5,,,,,BL,TJ1
