,1,2,3,4,5,6,7,8,9,10,11,12
A,1,2,3,4,5,,,,,,,
B,1,2,3,4,5,,,,,,,
C,1,2,3,4,5,,,,,,,
D,std_.375,std_.25,std_.125,std_.0675,std_.03875,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
