,1,2,3,4,5,6,7,8,9,10,11,12
A,Mdh_2.5,Mdh_1,Mdh_.2,Mdh_0,std_500,std_100,,,,,,
B,Mdh_2.5,Mdh_1,Mdh_.2,Mdh_0,std_350,std_0,,,,,,
C,Mdh_2.5,Mdh_1,Mdh_.2,Mdh_0,std_200,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
