,1,2,3,4,5,6,7,8,9,10,11,12
A,rTCA_10x,rTCA_10x,rTCA_10x,rTCA_HCT_10x,rTCA_HCT_10x,rTCA_HCT_10x,,,,,,
B,Neg_10x,Neg_10x,Neg_10x,Neg_HCT_10x,Neg_HCT_10x,Neg_HCT_10x,,,,,,
C,rTCA_200x,rTCA_200x,rTCA_200x,rTCA_HCT_200x,rTCA_HCT_200x,rTCA_HCT_200x,,,,,,
D,Neg_200x,Neg_200x,Neg_200x,Neg_HCT_200x,Neg_HCT_200x,Neg_HCT_200x,,,,,,
E,Pyc_HCT_200x,Pyc_HCT_200x,Pyc_HCT_200x,Pyc_Neg_HCT_200x,Pyc_Neg_HCT_200x,Pyc_Neg_HCT_200x,,,,,,
F,,,,,,,,,,,,
G,sds_200x,sds_200x,sds_200x,sds_neg_200x,sds_neg_200x,sds_neg_200x,,,,,,
H,,,,,,,,,,,,
