,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,,,,,,,,tdcb-0,,,,,,,,,,,,,,,,
B,,,,,,,,tdcb-1,,,,,,,,,,,,,,,,
C,,,,,,,,tdcb-2,,,,,,,,,,,,,,,,
D,,,,,,,,tdcb-3,,,,,,,,,,,,,,,,
E,,,,,,,,pyc-0,,,,,,,,,,,,,,,,
F,,,,,,,,pyc-1,,,,,,,,,,,,,,,,
G,,,,,,,,pyc-2,,,,,,,,,,,,,,,,
H,,,,,,,,pyc-3,,,,,,,,,,,,,,,,
I,,,,,,,,mdh-0,,,,,,,,,,,,,,,,
J,,,,,,,,mdh-1,,,,,,,,,,,,,,,,
K,,,,,,,,mdh-2,,,,,,,,,,,,,,,,
L,,,,,,,,mdh-3,,,,,,,,,,,,,,,,
M,,,,,,,,std,,,,,,,,,,,,,,,,
N,,,,,,,,,,,,,,,,,,,,,,,,
O,,,,,,,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,,,,,,
