,1,2,3,4,5,6,7,8,9,10,11,12
A,mod3_mod1_noGLY,mod3_mod1_noTHF,mod3_mod1_FULL,mod3_mod1_noSDS,mod3_mod1_ppk_noGLY,mod3_mod1_ppk_noTHF,mod3_mod1_ppk_FULL,mod3_mod1_noPYC,mod3_mod1_noMOD1,std,,
B,mod3_mod1_noGLY,mod3_mod1_noTHF,mod3_mod1_FULL,mod3_mod1_noSDS,mod3_mod1_ppk_noGLY,mod3_mod1_ppk_noTHF,mod3_mod1_ppk_FULL,mod3_mod1_noPYC,mod3_mod1_noMOD1,,,
C,mod3_mod1_noGLY,mod3_mod1_noTHF,mod3_mod1_FULL,mod3_mod1_noSDS,mod3_mod1_ppk_noGLY,mod3_mod1_ppk_noTHF,mod3_mod1_ppk_FULL,mod3_mod1_noPYC,mod3_mod1_noMOD1,,,
D,sds,sds_neg,glyA,gly_neg,,,,,,,,
E,sds,sds_neg,glyA,gly_neg,,,,,,,,
F,sds,sds_neg,glyA,gly_neg,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
