,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,sds,sds
B,,,,,,,,,,,sds-neg,sds-neg
C,,,,,,,,,,,std_1,std_3
D,,,,,,,,,,,std_2,std_4
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
