,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,,,,,,,,,,,,,,,,,,,,,,,,
B,,,,,,,,,,,,,,,,,,,,,,,,
C,,,,,,,,,,,,,,,,,,,,,,,,
D,,,,BC1_1,BC1_2,BC1_3,C1_1,C1_2,C1_3,C1_4,C1_5,C1_6,I1_1,I1_2,I1_3,I1_4,I1_5,I1_6,Y1_6,W1_1,W1_2,,,
E,,,,BC2_1,BC2_2,BC2_3,C2_1,C2_2,C2_3,C2_4,C2_5,C2_6,I2_1,I2_2,I2_3,I2_4,I2_5,I2_6,Y2_6,W2_1,W2_2,,,
F,,,,BC3_1,BC3_2,BC3_3,C3_1,C3_2,C3_3,C3_4,C3_5,C3_6,I3_1,I3_2,I3_3,I3_4,I3_5,I3_6,Y3_6,W3_1,W3_2,,,
G,,,,B1_1,B1_2,B1_3,BC1_4,BC1_5,BC1_6,S1_1,S2_1,S3_1,Y1_1,Y2_1,Y3_1,O1_1,O2_1,O3_1,O1_6,W1_3,W1_4,,,
H,,,,B2_1,B2_2,B2_3,BC2_4,BC2_5,BC2_6,S1_2,S2_2,S3_2,Y1_2,Y2_2,Y3_2,O1_2,O2_2,O3_2,O2_6,W2_3,W2_4,,,
I,,,,B3_1,B3_2,B3_3,BC3_4,BC3_5,BC3_6,S1_3,S2_3,S3_3,Y1_3,Y2_3,Y3_3,O1_3,O2_3,O3_3,O3_6,W3_3,W3_4,,,
J,,,,B1_4,B1_5,B1_6,B3_4,B3_5,B3_6,S1_4,S2_4,S3_4,Y1_4,Y2_4,Y3_4,O1_4,O2_4,O3_4,W1_5,W2_5,W3_5,,,
K,,,,B2_4,B2_5,B2_6,S1_6,S2_6,S3_6,S1_5,S2_5,S3_5,Y1_5,Y2_5,Y3_5,O1_5,O2_5,O3_5,W1_6,W2_6,W3_6,,,
L,,,,X1_1,X1_2,X1_3,X1_4,X1_5,X1_6,X2_1,X2_2,X2_3,X2_4,X2_5,X2_6,X3_1,X3_2,X3_3,X3_4,X3_5,X3_6,,,
M,,,,XC1_1,XC1_2,XC1_3,XC1_4,XC1_5,XC1_6,XC2_1,XC2_2,XC2_3,XC2_4,XC2_5,XC2_6,XC3_1,XC3_2,XC3_3,XC3_4,XC3_5,XC3_6,,,
N,,,,,,,,,,,,,,,,,,,,,,,,
O,,,,,,,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,,,,,,
