,Temp1,Temp2,Time,Rep1,Rep2,Rep3
1,30,24,8,59003.88,38892.94,46773.48
2,30,24,8,52318.64,26545.36,33675.08
3,30,24,8,27630.17,16209.11,26476.81
4,30,24,8,16530.19,20730.74,36069.29
5,30,24,8,24944.92,37848.2,42734.67
6,30,24,8,3060.8,1654.95,1804.66
7,30,24,8,12107.87,29833.98,23890.76
8,30,24,8,14262.01,32391.34,28734.13
9,30,24,8,22616.71,38337.93,5529.59
10,30,24,8,14211.08,29857.02,2316.22
11,30,24,8,21085.59,2678.35,2940.09
12,30,24,8,27883.13,42209.24,40542.05
