,1,2,3,4,5,6,7,8,9,10,11,12
A,glyA_buj,glyA_buj,glyA_buj,mod3_1,mod3_1,mod3_1,,,,,,
B,glyA_neg,glyA_neg,glyA_neg,mod3_1_new,mod3_1_new,mod3_1_new,,,,,,
C,pyc_ctrl,pyc_ctrl,pyc_ctrl,mod3_1_neg,mod3_1_neg,mod3_1_neg,,,,,,
D,pyc_aa,pyc_aa,pyc_aa,mod1,mod1,mod1,,,,,,
E,pyc_neg,pyc_neg,pyc_neg,mod1_neg,mod1_neg,mod1_neg,,,,,,
F,pyc_ctrl_noCoA,pyc_ctrl_noCoA,pyc_ctrl_noCoA,,,,,,,,,
G,pyc_aa_noCoA,pyc_aa_noCoA,pyc_aa_noCoA,,,,,,,,,
H,pyc_neg_noCoA,pyc_neg_noCoA,pyc_neg_noCoA,,,,,,,,,
