Sample Name,Sample Position,Method,Data File
mod1_1,P3-C1,Carothers/BEH_amide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231005/mod1_1
mod1_2,P3-D1,Carothers/BEH_amide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231005/mod1_2
mod1_3,P3-E1,Carothers/BEH_amide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231005/mod1_3
mod1_neg_2,P3-D2,Carothers/BEH_amide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231005/mod1_neg_2
mod1_neg_1,P3-C2,Carothers/BEH_amide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231005/mod1_neg_1
mod1_neg_3,P3-E2,Carothers/BEH_amide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231005/mod1_neg_3
mod3_1,P3-C3,Carothers/BEH_amide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231005/mod3_1
mod3_2,P3-D3,Carothers/BEH_amide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231005/mod3_2
mod3_3,P3-E3,Carothers/BEH_amide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231005/mod3_3
mod3_neg_1,P3-C4,Carothers/BEH_amide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231005/mod3_neg_1
mod3_neg_2,P3-D4,Carothers/BEH_amide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231005/mod3_neg_2
mod3_neg_3,P3-E4,Carothers/BEH_amide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231005/mod3_neg_3
fdh_neg_1,p3-c8,Carothers/BEH_amide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231005/fdh_neg_1
fdh_neg_2,p3-d8,Carothers/BEH_amide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231005/fdh_neg_2
fdh_neg_3,p3-e8,Carothers/BEH_amide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231005/fdh_neg_3
,p3-c9,Carothers/BEH_amide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231005/fdh_pos_1
,p3-d9,Carothers/BEH_amide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231005/fdh_pos_2
,p3-e9,Carothers/BEH_amide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231005/fdh_pos_3
mod1_MC_3,P3-E7,Carothers/BEH_amide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231005/mod1_MC_1
mod1_MC_1,P3-C7,Carothers/BEH_amide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231005/mod1_MC_2
mod1_MC_2,P3-D7,Carothers/BEH_amide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231005/mod1_MC_3
,,,
,,,
full_1,P3-C5,Carothers/BEH_amide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231005/full_1
full_3,P3-E5,Carothers/BEH_amide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231005/full_3
full_2,P3-D5,Carothers/BEH_amide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231005/full_2
full_neg_3,P3-E6,Carothers/BEH_amide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231005/full_neg_3
full_neg_2,P3-D6,Carothers/BEH_amide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231005/full_neg_2
full_neg_1,P3-C6,Carothers/BEH_amide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231005/full_neg_1
