,1,2,3,4,5,6,7,8,9,10,11,12
A,PB_PB,PB_PB,PB_PB,0B_PB,0B_PB,0B_PB,std_.5,,,,,
B,PB_P0,PB_P0,PB_P0,0B_P0,0B_P0,0B_P0,std_.375,,,,,
C,PB_0B,PB_0B,PB_0B,0B_0B,0B_0B,0B_0B,std_.25,,,,,
D,PB_00,PB_00,PB_00,0B_00,0B_00,0B_00,std_.125,,,,,
E,P0_PB,P0_PB,P0_PB,00_PB,00_PB,00_PB,std_.0675,,,,,
F,P0_P0,P0_P0,P0_P0,00_P0,00_P0,00_P0,std_0,,,,,
G,P0_0B,P0_0B,P0_0B,00_0B,00_0B,00_0B,,,,,,
H,P0_00,P0_00,P0_00,00_00,00_00,00_00,,,,,,
