Sample Name,Sample Position,Method,Data File
glyA_1,P3-A1,Carothers/BEH_amide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231011/glyA_1
glyA_2,P3-A2,Carothers/BEH_amide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231011/glyA_2
glyA_3,P3-A3,Carothers/BEH_amide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231011/glyA_3
mtdA_1,P3-A4,Carothers/BEH_amide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231011/mtdA_1
mtdA_2,P3-A5,Carothers/BEH_amide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231011/mtdA_2
mtdA_3,P3-A6,Carothers/BEH_amide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231011/mtdA_3
ftl_1,P3-A7,Carothers/BEH_amide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231011/ftl_1
ftl_2,P3-A8,Carothers/BEH_amide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231011/ftl_2
ftl_3,P3-A9,Carothers/BEH_amide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231011/ftl_3
glyA_sds_1,P3-B1,Carothers/BEH_amide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231011/glyA_sds_1
glyA_sds_2,P3-B2,Carothers/BEH_amide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231011/glyA_sds_2
glyA_sds_3,P3-B3,Carothers/BEH_amide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231011/glyA_sds_3
mtdA_neg_1,P3-B4,Carothers/BEH_amide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231011/mtdA_neg_1
mtdA_neg_2,P3-B5,Carothers/BEH_amide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231011/mtdA_neg_2
mtdA_neg_3,P3-B6,Carothers/BEH_amide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231011/mtdA_neg_3
ftl_fch_1,P3-B7,Carothers/BEH_amide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231011/ftl_fch_1
ftl_fch_2,P3-B8,Carothers/BEH_amide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231011/ftl_fch_2
ftl_fch_3,P3-B9,Carothers/BEH_amide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231011/ftl_fch_3
glyA_formate_1,P3-C1,Carothers/BEH_amide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231011/glyA_formate_1
glyA_formate_2,P3-C2,Carothers/BEH_amide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231011/glyA_formate_2
glyA_formate_3,P3-C3,Carothers/BEH_amide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231011/glyA_formate_3
mtdA_glyA_1,P3-C4,Carothers/BEH_amide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231011/mtdA_glyA_1
mtdA_glyA_2,P3-C5,Carothers/BEH_amide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231011/mtdA_glyA_2
mtdA_glyA_3,P3-C6,Carothers/BEH_amide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231011/mtdA_glyA_3
ftl_neg_1,P3-C7,Carothers/BEH_amide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231011/ftl_neg_1
