Sample Name,Sample Position,Method,Data File
mod3_1,P3-A1,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231114_mod3/mod3_1
mod3_2,P3-A2,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231114_mod3/mod3_2
mod3_3,P3-A3,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231114_mod3/mod3_3
mod3_ppk_1,P3-A4,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231114_mod3/mod3_ppk_1
mod3_ppk_2,P3-A5,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231114_mod3/mod3_ppk_2
mod3_ppk_3,P3-A6,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231114_mod3/mod3_ppk_3
mod3_neg_1,P3-B1,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231114_mod3/mod3_neg_1
mod3_neg_2,P3-B2,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231114_mod3/mod3_neg_2
mod3_neg_3,P3-B3,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231114_mod3/mod3_neg_3
mod3_ppk_neg_1,P3-B4,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231114_mod3/mod3_ppk_neg_1
mod3_ppk_neg_2,P3-B5,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231114_mod3/mod3_ppk_neg_2
mod3_ppk_neg_3,P3-B6,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231114_mod3/mod3_ppk_neg_3
mod3_acs_1,P3-C1,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231114_mod3/mod3_acs_1
mod3_acs_2,P3-C2,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231114_mod3/mod3_acs_2
mod3_acs_3,P3-C3,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231114_mod3/mod3_acs_3
ppk_1,P3-C4,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231114_mod3/ppk_1
ppk_2,P3-C5,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231114_mod3/ppk_2
ppk_3,P3-C6,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231114_mod3/ppk_3
mod3_acs_neg_1,P3-D1,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231114_mod3/mod3_acs_neg_1
mod3_acs_neg_2,P3-D2,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231114_mod3/mod3_acs_neg_2
mod3_acs_neg_3,P3-D3,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231114_mod3/mod3_acs_neg_3
ppk_neg_1,P3-D4,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231114_mod3/ppk_neg_1
ppk_neg_2,P3-D5,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231114_mod3/ppk_neg_2
ppk_neg_3,P3-D6,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231114_mod3/ppk_neg_3
acs_1,P3-E1,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231114_mod3/acs_1
acs_2,P3-E2,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231114_mod3/acs_2
acs_3,P3-E3,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231114_mod3/acs_3
mod3_ppk_acs_1,P3-E4,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231114_mod3/mod3_ppk_acs_1
mod3_ppk_acs_2,P3-E5,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231114_mod3/mod3_ppk_acs_2
mod3_ppk_acs_3,P3-E6,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231114_mod3/mod3_ppk_acs_3
acs_neg_1,P3-F1,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231114_mod3/acs_neg_1
acs_neg_2,P3-F2,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231114_mod3/acs_neg_2
acs_neg_3,P3-F3,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231114_mod3/acs_neg_3
mod3_ppk_acs_neg_1,P3-F4,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231114_mod3/mod3_ppk_acs_neg_1
mod3_ppk_acs_neg_2,P3-F5,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231114_mod3/mod3_ppk_acs_neg_2
mod3_ppk_acs_neg_3,P3-F6,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231114_mod3/mod3_ppk_acs_neg_3
neg_1,P3-G1,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231114_mod3/neg_1
neg_2,P3-G2,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231114_mod3/neg_2
neg_3,P3-G3,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231114_mod3/neg_3
mod3_empty_1,P3-H1,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231114_mod3/mod3_empty_1
mod3_empty_2,P3-H2,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231114_mod3/mod3_empty_2
mod3_empty_3,P3-H3,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/231114_mod3/mod3_empty_3
