,fch,ftl,mtdA,Fdh,gcvH,gcvT,gcvP,lpd,lplA,PLP,FAD,P70_GFP
std,,,,,,,,,,,,5
mod2,0.5,0.5,1,1,8,1.5,1.5,1.5,1.5,1,0.1,
