Sample Name,Sample Position,Method,Data File
sds_1,P3-A1,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/240220_mod3/sds_1
sds_neg_1,P3-A2,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/240220_mod3/sds_neg_1
sds_kan_1,P3-A3,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/240220_mod3/sds_kan_1
sds_kan_neg_1,P3-A4,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/240220_mod3/sds_kan_neg_1
mod3_1,P3-A5,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/240220_mod3/mod3_1
mod3_neg_1,P3-A6,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/240220_mod3/mod3_neg_1
mod3-1_1,P3-A7,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/240220_mod3/mod3-1_1
mod3-1_neg_1,P3-A8,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/240220_mod3/mod3-1_neg_1
mod3-shunt_1,P3-A9,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/240220_mod3/mod3-shunt_1
mod3-shunt_neg_1,P3-A10,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/240220_mod3/mod3-shunt_neg_1
sds_2,P3-B1,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/240220_mod3/sds_2
sds_neg_2,P3-B2,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/240220_mod3/sds_neg_2
sds_kan_2,P3-B3,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/240220_mod3/sds_kan_2
sds_kan_neg_2,P3-B4,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/240220_mod3/sds_kan_neg_2
mod3_2,P3-B5,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/240220_mod3/mod3_2
mod3_neg_2,P3-B6,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/240220_mod3/mod3_neg_2
mod3-1_2,P3-B7,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/240220_mod3/mod3-1_2
mod3-1_neg_2,P3-B8,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/240220_mod3/mod3-1_neg_2
mod3-shunt_2,P3-B9,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/240220_mod3/mod3-shunt_2
mod3-shunt_neg_2,P3-B10,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/240220_mod3/mod3-shunt_neg_2
sds_3,P3-C1,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/240220_mod3/sds_3
sds_neg_3,P3-C2,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/240220_mod3/sds_neg_3
sds_kan_3,P3-C3,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/240220_mod3/sds_kan_3
sds_kan_neg_3,P3-C4,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/240220_mod3/sds_kan_neg_3
mod3_3,P3-C5,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/240220_mod3/mod3_3
mod3_neg_3,P3-C6,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/240220_mod3/mod3_neg_3
mod3-1_3,P3-C7,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/240220_mod3/mod3-1_3
mod3-1_neg_3,P3-C8,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/240220_mod3/mod3-1_neg_3
mod3-shunt_3,P3-C9,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/240220_mod3/mod3-shunt_3
mod3-shunt_neg_3,P3-C10,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/240220_mod3/mod3-shunt_neg_3
mod3_4,P3-D5,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/240220_mod3/mod3_4
mod3-1_4,P3-D7,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/240220_mod3/mod3-1_4
mod3-1_neg_4,P3-D8,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/240220_mod3/mod3-1_neg_4
mod3-shunt_4,P3-D9,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/240220_mod3/mod3-shunt_4
mod3-shunt_neg_4,P3-D10,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/240220_mod3/mod3-shunt_neg_4
