,pDA010.188,pRC029,pBT009.J1.119.DA9,pBT009.J1.119.DA2,pBT009.J1.119.DA3,pBT009.J1.119.DA6,pBT009.J1.119.DA10,pDA303,pDA304,pDA305,pDA307,pDA309,TJ1_RFP
303_1,4,4,0,,,,,10,,,,,
304_1,4,4,,0,,,,,10,,,,
305_1,4,4,,,0,,,,,10,,,
307_1,4,4,,,,0,,,,,10,,
309_1,4,4,,,,,0,,,,,10,
