Name,pDA010.188,pRC029,pBT009.J1.119.DA4,pDA332,pDA320,pDA315,pDA335,pDA336,pDA306,pDA303,pDA304,pDA309,pDA307,pDA305
c1_0,4,4,0,0.04,,,,,,0.2,,,,
c1_1,4,4,0.015,0.04,,,,,,0.2,,,,
c2_0,4,4,0,0.04,0.2,,,,,,0.34,,,
c2_1,4,4,0.015,0.04,0.2,,,,,,0.34,,,
c3_0,4,4,0,0.04,0.2,0.34,,,,,,0.61,,
c3_1,4,4,0.015,0.04,0.2,0.34,,,,,,0.61,,
c4_0,4,4,0,0.04,0.2,0.34,0.61,,,,,,0.28,
c4_1,4,4,0.015,0.04,0.2,0.34,0.61,,,,,,0.28,
c5_0,4,4,0,0.04,0.2,0.34,0.61,0.28,,,,,,10
c5_1,4,4,0.002,0.04,0.2,0.34,0.61,0.28,,,,,,10
c5_2,4,4,0.015,0.04,0.2,0.34,0.61,0.28,,,,,,10
c5_3,4,4,0.03,0.04,0.2,0.34,0.61,0.28,,,,,,10
c5_4,4,4,0.06,0.04,0.2,0.34,0.61,0.28,,,,,,10
c5_5,4,4,0.12,0.04,0.2,0.34,0.61,0.28,,,,,,10
c5_6,4,4,0.6,0.04,0.2,0.34,0.61,0.28,,,,,,10
c5_7,4,4,1.2,0.04,0.2,0.34,0.61,0.28,,,,,,10
c0_0,4,4,0,,,,,,0.04,,,,,
c0_1,4,4,0.002,,,,,,0.04,,,,,
c0_2,4,4,0.015,,,,,,0.04,,,,,
c0_3,4,4,0.03,,,,,,0.04,,,,,
c0_4,4,4,0.06,,,,,,0.04,,,,,
c0_5,4,4,0.12,,,,,,0.04,,,,,
c0_6,4,4,0.6,,,,,,0.04,,,,,
c0_7,4,4,1.2,,,,,,0.04,,,,,
HB_c5_0,4,4,0,0.04,0.2,0.34,1.2,0.28,,,,,,10
HB_c5_1,4,4,0.015,0.04,0.2,0.34,1.2,0.28,,,,,,10
HL_c5_0,4,4,0,0.04,0.2,0.34,1.2,0.14,,,,,,10
HL_c5_1,4,4,0.015,0.04,0.2,0.34,1.2,0.14,,,,,,10
LL_c5_0,4,4,0,0.04,0.2,0.34,0.3,0.28,,,,,,10
LL_c5_1,4,4,0.015,0.04,0.2,0.34,0.3,0.28,,,,,,10
blank,,,,,,,,,,,,,,
