,TJ1_RFP,pDA010.188,pRC029,pDA303,pDA305,pBT009.J1.119.DA9,pBT009.J1.119.DA3,pDA326,pDA327,pDA328,pDA329
303_off,,4,4,10,,,0.5,,,,
303_on,,4,4,10,,0.5,,,,,
303_s_on,,4,4,10,,,,,0.5,,0.5
303_s_off,,4,4,10,,,,0.5,,,0.5
303_s_b,,4,4,10,,,,0.5,0.5,,0.5
305_off,,4,4,,10,0.5,,,,,
305_on,,4,4,,10,,0.5,,,,
305_s_on ,,4,4,,10,,,0.5,,0.5,
305_s_off,,4,4,,10,,,,0.5,0.5,
305_s_b,,4,4,,10,,,0.5,,0.5,
blank,,,,,,,,,,,
TJ1,1,,,,,,,,,,
