,1,2,3,4,5,6,7,8,9,10,11,12
A,,,tdcb_10,PLP_10,,,,,,,,
B,,,tdcb_5,PLP_5,,,,,,,,
C,,,tdcb_2.5,PLP_1,,,,,,,,
D,,,tdcb_.5,PLP_.1,,,,,,,,
E,,,tdcb_0,PLP_0,,,,,,,,
F,,,,pyc,,,,,,,,
G,,,,pyc_neg,,,,,,,,
H,,,,,,,,,,,,
