,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,,,,,,,,,,,,,,tdcb_10,tdcb_10,,,,,,,,,
B,,,,,,,,,,,,,,tdcb_5,tdcb_5,,,,,,,,,
C,,,,,,,,,,,,,,tdcb_2.5,tdcb_2.5,,,,,,,,,
D,,,,,,,,,,,,,,tdcb_.5,tdcb_.5,,,,,,,,,
E,,,,,,,,,,,,,,tdcb_0,tdcb_0,,,,,,,,,
F,,,,,,,,,,,,,,PLP_10,PLP_10,,,,,,,,,
G,,,,,,,,,,,,,,PLP_5,PLP_5,,,,,,,,,
H,,,,,,,,,,,,,,PLP_1,PLP_1,,,,,,,,,
I,,,,,,,,,,,,,,PLP_.1,PLP_.1,,,,,,,,,
J,,,,,,,,,,,,,,PLP_0,PLP_0,,,,,,,,,
K,,,,,,,,,,,,,,pyc,pyc,,,,,,,,,
L,,,,,,,,,,,,,,pyc_neg,pyc_neg,,,,,,,,,
M,,,,,,,,,,,,,,,,,,,,,,,,
N,,,,,,,,,,,,,,,,,,,,,,,,
O,,,,,,,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,,,,,,
