Source Plate Name,Source Plate Type,Source Well,Destination Plate Name,Destination Well,Transfer Volume
Source[1],384PP_AQ_BP,N1,Destination[1],E3,500.0
Source[1],384PP_AQ_BP,O1,Destination[1],E3,500.0
Source[1],384PP_AQ_BP,P1,Destination[1],E3,1000.0
Source[3],384PP_AQ_BP,I7,Destination[1],E3,2500.0
Source[1],384PP_AQ_BP,A1,Destination[1],F1,500.0
Source[1],384PP_AQ_BP,B1,Destination[1],F1,500.0
Source[1],384PP_AQ_BP,C1,Destination[1],F1,250.0
Source[1],384PP_AQ_BP,D1,Destination[1],F1,500.0
Source[1],384PP_AQ_BP,E1,Destination[1],F1,2500.0
Source[1],384PP_AQ_BP,F1,Destination[1],F1,25.0
Source[1],384PP_AQ_BP,G1,Destination[1],F1,400.0
Source[1],384PP_AQ_BP,H1,Destination[1],F1,1000.0
Source[1],384PP_AQ_BP,J1,Destination[1],F1,500.0
Source[1],384PP_AQ_BP,N1,Destination[1],F1,500.0
Source[1],384PP_AQ_BP,O1,Destination[1],F1,500.0
Source[1],384PP_AQ_BP,P1,Destination[1],F1,1000.0
Source[3],384PP_AQ_BP,J7,Destination[1],F1,2500.0
Source[1],384PP_AQ_BP,A1,Destination[1],F2,500.0
Source[1],384PP_AQ_BP,B1,Destination[1],F2,500.0
Source[1],384PP_AQ_BP,C1,Destination[1],F2,250.0
Source[1],384PP_AQ_BP,D1,Destination[1],F2,500.0
Source[1],384PP_AQ_BP,E2,Destination[1],F2,2500.0
Source[1],384PP_AQ_BP,F1,Destination[1],F2,25.0
Source[1],384PP_AQ_BP,G1,Destination[1],F2,400.0
Source[1],384PP_AQ_BP,H1,Destination[1],F2,1000.0
Source[1],384PP_AQ_BP,J1,Destination[1],F2,500.0
Source[1],384PP_AQ_BP,N1,Destination[1],F2,500.0
Source[1],384PP_AQ_BP,O1,Destination[1],F2,500.0
Source[1],384PP_AQ_BP,P1,Destination[1],F2,1000.0
Source[3],384PP_AQ_BP,J7,Destination[1],F2,2500.0
Source[1],384PP_AQ_BP,A1,Destination[1],F3,500.0
Source[1],384PP_AQ_BP,B1,Destination[1],F3,500.0
Source[1],384PP_AQ_BP,C1,Destination[1],F3,250.0
Source[1],384PP_AQ_BP,D1,Destination[1],F3,500.0
Source[1],384PP_AQ_BP,E2,Destination[1],F3,2500.0
Source[1],384PP_AQ_BP,F1,Destination[1],F3,25.0
Source[1],384PP_AQ_BP,G1,Destination[1],F3,400.0
Source[1],384PP_AQ_BP,H1,Destination[1],F3,1000.0
Source[1],384PP_AQ_BP,J1,Destination[1],F3,500.0
Source[1],384PP_AQ_BP,N1,Destination[1],F3,500.0
Source[1],384PP_AQ_BP,O1,Destination[1],F3,500.0
Source[1],384PP_AQ_BP,P1,Destination[1],F3,1000.0
Source[3],384PP_AQ_BP,J7,Destination[1],F3,2500.0
Source[3],384PP_AQ_BP,G7,Destination[1],G1,2500.0
Source[1],384PP_AQ_BP,B1,Destination[1],G2,25.0
Source[1],384PP_AQ_BP,J1,Destination[1],G2,25.0
Source[1],384PP_AQ_BP,K1,Destination[1],G2,50.0
Source[1],384PP_AQ_BP,L1,Destination[1],G2,50.0
Source[1],384PP_AQ_BP,P1,Destination[1],G2,50.0
Source[3],384PP_AQ_BP,G7,Destination[1],G2,2500.0
Source[1],384PP_AQ_BP,B1,Destination[1],G3,50.0
Source[1],384PP_AQ_BP,J1,Destination[1],G3,50.0
Source[1],384PP_AQ_BP,K1,Destination[1],G3,100.0
Source[1],384PP_AQ_BP,L1,Destination[1],G3,100.0
Source[1],384PP_AQ_BP,P1,Destination[1],G3,100.0
Source[3],384PP_AQ_BP,G7,Destination[1],G3,2500.0
Source[1],384PP_AQ_BP,B1,Destination[1],G4,125.0
Source[1],384PP_AQ_BP,J1,Destination[1],G4,125.0
Source[1],384PP_AQ_BP,K1,Destination[1],G4,250.0
Source[1],384PP_AQ_BP,L1,Destination[1],G4,250.0
Source[1],384PP_AQ_BP,P1,Destination[1],G4,250.0
Source[3],384PP_AQ_BP,G7,Destination[1],G4,2500.0
