,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,10-18_1_0,10-18_2_0,10-18_3_0,10-16_1_0,10-16_2_0,10-16_3_0,10-14_1_0,10-14_2_0,10-14_3_0,10-12_1_0,10-12_2_0,10-12_3_0,10-10_1_0,10-10_2_0,10-10_3_0,- 35_1_0,- 10_1_0,- DA4_1_0,- DA9_1_0,- J106_1_0,,1_10-18_1_0,1_10-18_2_0,1_10-18_3_0
B,10-18_1_1,10-18_2_1,10-18_3_1,10-16_1_1,10-16_2_1,10-16_3_1,10-14_1_1,10-14_2_1,10-14_3_1,10-12_1_1,10-12_2_1,10-12_3_1,10-10_1_1,10-10_2_1,10-10_3_1,- 35_2_0,- 10_2_0,- DA4_2_0,- DA9_2_0,- J106_2_0,,1_10-18_1_1,1_10-18_2_1,1_10-18_3_1
C,10-18_1_2,10-18_2_2,10-18_3_2,10-16_1_2,10-16_2_2,10-16_3_2,10-14_1_2,10-14_2_2,10-14_3_2,10-12_1_2,10-12_2_2,10-12_3_2,10-10_1_2,10-10_2_2,10-10_3_2,- 35_3_0,- 10_3_0,- DA4_3_0,- DA9_3_0,- J106_3_0,,1_10-16_1_0,1_10-16_2_0,1_10-16_3_0
D,10-18_1_3,10-18_2_3,10-18_3_3,10-16_1_3,10-16_2_3,10-16_3_3,10-14_1_3,10-14_2_3,10-14_3_3,10-12_1_3,10-12_2_3,10-12_3_3,10-10_1_3,10-10_2_3,10-10_3_3,- 35_1_5,- 10_1_5,- DA4_1_5,- DA9_1_5,- J106_1_5,,1_10-16_1_1,1_10-16_2_1,1_10-16_3_1
E,10-18_1_4,10-18_2_4,10-18_3_4,10-16_1_4,10-16_2_4,10-16_3_4,10-14_1_4,10-14_2_4,10-14_3_4,10-12_1_4,10-12_2_4,10-12_3_4,10-10_1_4,10-10_2_4,10-10_3_4,- 35_2_5,- 10_2_5,- DA4_2_5,- DA9_2_5,- J106_2_5,,1_10-14_1_0,1_10-14_2_0,1_10-14_3_0
F,10-18_1_5,10-18_2_5,10-18_3_5,10-16_1_5,10-16_2_5,10-16_3_5,10-14_1_5,10-14_2_5,10-14_3_5,10-12_1_5,10-12_2_5,10-12_3_5,10-10_1_5,10-10_2_5,10-10_3_5,- 35_3_5,- 10_3_5,- DA4_3_5,- DA9_3_5,- J106_3_5,,1_10-14_1_1,1_10-14_2_1,1_10-14_3_1
G,0_10-18_1_0,0_10-18_2_0,0_10-18_3_0,0_10-16_1_0,0_10-16_2_0,0_10-16_3_0,0_10-14_1_0,0_10-14_2_0,0_10-14_3_0,0_10-12_1_0,0_10-12_2_0,0_10-12_3_0,0_10-10_1_0,0_10-10_2_0,0_10-10_3_0,0_- 35_1_0,0_- 10_1_0,1_- J106_1_0,0_+ J106_1_0,0_+ J106_2_0,0_+ J106_3_0,1_10-12_1_0,1_10-12_2_0,1_10-12_3_0
H,0_10-18_1_1,0_10-18_2_1,0_10-18_3_1,0_10-16_1_1,0_10-16_2_1,0_10-16_3_1,0_10-14_1_1,0_10-14_2_1,0_10-14_3_1,0_10-12_1_1,0_10-12_2_1,0_10-12_3_1,0_10-10_1_1,0_10-10_2_1,0_10-10_3_1,0_- 35_2_0,0_- 10_2_0,1_- J106_2_0,0_+ J106_1_1,0_+ J106_2_1,0_+ J106_3_1,1_10-12_1_1,1_10-12_2_1,1_10-12_3_1
I,0_10-18_1_2,0_10-18_2_2,0_10-18_3_2,0_10-16_1_2,0_10-16_2_2,0_10-16_3_2,0_10-14_1_2,0_10-14_2_2,0_10-14_3_2,0_10-12_1_2,0_10-12_2_2,0_10-12_3_2,0_10-10_1_2,0_10-10_2_2,0_10-10_3_2,0_- 35_3_0,0_- 10_3_0,1_- J106_3_0,0_+ J106_1_2,0_+ J106_2_2,0_+ J106_3_2,1_10-10_1_0,1_10-10_2_0,1_10-10_3_0
J,0_10-18_1_3,0_10-18_2_3,0_10-18_3_3,0_10-16_1_3,0_10-16_2_3,0_10-16_3_3,0_10-14_1_3,0_10-14_2_3,0_10-14_3_3,0_10-12_1_3,0_10-12_2_3,0_10-12_3_3,0_10-10_1_3,0_10-10_2_3,0_10-10_3_3,0_- 35_1_5,0_- 10_1_5,1_- J106_1_5,0_+ J106_1_3,0_+ J106_2_3,0_+ J106_3_3,1_10-10_1_1,1_10-10_2_1,1_10-10_3_1
K,0_10-18_1_4,0_10-18_2_4,0_10-18_3_4,0_10-16_1_4,0_10-16_2_4,0_10-16_3_4,0_10-14_1_4,0_10-14_2_4,0_10-14_3_4,0_10-12_1_4,0_10-12_2_4,0_10-12_3_4,0_10-10_1_4,0_10-10_2_4,0_10-10_3_4,0_- 35_2_5,0_- 10_2_5,1_- J106_2_5,0_+ J106_1_4,0_+ J106_2_4,0_+ J106_3_4,1_- 35_1_0,1_- 10_1_0,1_- J106_1_0
L,0_10-18_1_5,0_10-18_2_5,0_10-18_3_5,0_10-16_1_5,0_10-16_2_5,0_10-16_3_5,0_10-14_1_5,0_10-14_2_5,0_10-14_3_5,0_10-12_1_5,0_10-12_2_5,0_10-12_3_5,0_10-10_1_5,0_10-10_2_5,0_10-10_3_5,0_- 35_3_5,0_- 10_3_5,1_- J106_3_5,0_+ J106_1_5,0_+ J106_2_5,0_+ J106_3_5,1_- 35_2_0,1_- 10_2_0,1_- J106_2_0
M,1_10-18_1_2,1_10-18_2_2,1_10-18_3_2,1_10-16_1_2,1_10-16_2_2,1_10-16_3_2,1_10-14_1_2,1_10-14_2_2,1_10-14_3_2,1_10-12_1_2,1_10-12_2_2,1_10-12_3_2,1_10-10_1_2,1_10-10_2_2,1_10-10_3_2,1_- 35_3_0,1_- 10_3_0,1_- J106_3_0,1_+ J106_1_2,1_+ J106_2_2,1_+ J106_3_2,1_+ J106_1_0,1_+ J106_2_0,1_+ J106_3_0
N,1_10-18_1_3,1_10-18_2_3,1_10-18_3_3,1_10-16_1_3,1_10-16_2_3,1_10-16_3_3,1_10-14_1_3,1_10-14_2_3,1_10-14_3_3,1_10-12_1_3,1_10-12_2_3,1_10-12_3_3,1_10-10_1_3,1_10-10_2_3,1_10-10_3_3,1_- 35_1_5,1_- 10_1_5,1_- J106_1_5,1_+ J106_1_3,1_+ J106_2_3,1_+ J106_3_3,1_+ J106_1_1,1_+ J106_2_1,1_+ J106_3_1
O,1_10-18_1_4,1_10-18_2_4,1_10-18_3_4,1_10-16_1_4,1_10-16_2_4,1_10-16_3_4,1_10-14_1_4,1_10-14_2_4,1_10-14_3_4,1_10-12_1_4,1_10-12_2_4,1_10-12_3_4,1_10-10_1_4,1_10-10_2_4,1_10-10_3_4,1_- 35_2_5,1_- 10_2_5,1_- J106_2_5,1_+ J106_1_4,1_+ J106_2_4,1_+ J106_3_4,,,
P,1_10-18_1_5,1_10-18_2_5,1_10-18_3_5,1_10-16_1_5,1_10-16_2_5,1_10-16_3_5,1_10-14_1_5,1_10-14_2_5,1_10-14_3_5,1_10-12_1_5,1_10-12_2_5,1_10-12_3_5,1_10-10_1_5,1_10-10_2_5,1_10-10_3_5,1_- 35_3_5,1_- 10_3_5,1_- J106_3_5,1_+ J106_1_5,1_+ J106_2_5,1_+ J106_3_5,,,
