,1,2,3,4,5,6,7,8,9,10,11,12
A,ser_1000,ser_750,ser_500,ser_250,ser_0,ppk_minus,std_600,std_400,std_200,std_0,,
B,ser_1000,ser_750,ser_500,ser_250,ser_0,ppk_minus,std_600,std_400,std_200,std_0,,
C,ser_1000,ser_750,ser_500,ser_250,ser_0,ppk_minus,std_600,std_400,std_200,std_0,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
