,1,2,3,4,5,6,7,8,9,10,11,12
A,mod2_rvrs,mod2_rvrs,mod2_rvrs,,,,,,,,,
B,neg_rvrs,neg_rvrs,neg_rvrs,,,,,,,,,
C,pyc,pyc,pyc,,,,,,,,,
D,pyc_neg,pyc_neg,pyc_neg,,,,,,,,,
E,pyc_noB,pyc_noB,pyc_noB,,,,,,,,,
F,pyc_noA,pyc_noA,pyc_noA,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
