,time,y0,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30,y31,y32,y33,y34,y35
27,0.509,0.0,150.0,300.0,450.0,600.0,750.0,900.0,1050.0,1200.0,1350.0,1500.0,1650.0,1800.0,1950.0,2100.0,2250.0,2400.0,2550.0,2700.0,2850.0,3000.0,3150.0,3300.0,3450.0,3600.0,3750.0,3900.0,4050.0,4200.0,4350.0,4500.0,4650.0,4800.0,4950.0,5100.0,5250.0
28,0.526,0.0,150.0,300.0,450.0,600.0,750.0,900.0,1050.0829957830401,1200.0,1350.0,1500.0,1650.0,1800.0,1950.0,2100.0,2250.0,2400.0,2550.0,2700.0,2850.0,3000.0,3150.0,3300.0,3450.0,3600.0,3750.0,3900.0,4050.0,4200.0,4350.0,4500.0,4650.0,4800.0,4950.0,5100.0,5250.0
29,0.548,0.0,150.0,300.0,450.0,600.0,750.0,900.0,1050.0,1200.0,1350.0,1500.0,1650.0,1800.0,1950.0,2100.0,2250.0,2400.0,2550.0,2700.0,2850.0,3000.0,3150.0,3300.0,3450.0,3600.0,3750.0,3900.0,4050.0,4200.0,4350.0,4500.0,4650.0,4800.0,4950.0,5100.0,5250.0
30,0.554,0.0,150.0,300.0,450.0,600.0,750.0,900.0,1050.0,1200.0,1350.0,1500.0,1650.0,1800.0,1950.0,2100.0,2250.0,2400.0,2550.0,2700.0,2850.0,3000.0,3150.0,3300.0,3450.0,3600.0,3750.0,3900.0,4050.0,4200.0,4350.0,4500.0,4650.0,4800.0,4950.0,5100.0,5250.0
31,0.559,0.0,150.0,300.0,450.0,600.0,750.0,900.0,1050.0,1200.0,1350.0,1500.0,1650.0,1800.0,1950.0,2100.0,2250.0,2400.0,2550.0,2700.0,2850.0,3000.0,3150.0,3300.0,3450.0,3600.0,3750.0,3900.0,4050.0,4200.0,4350.0,4500.0,4650.0,4800.0,4950.0,5100.0,5250.0
32,0.565,0.0,150.0,300.0,450.0,612.5615932825109,750.0,900.0,1050.0,1200.1108589667485,1350.0,1500.0,1650.0,1800.0,1950.0,2100.0,2250.0,2400.0,2550.0,2700.0,2850.0,3000.0,3150.0,3300.0,3450.0,3600.0,3753.6748864849287,3900.0,4050.0,4200.0,4350.0,4500.0,4686.655641550219,4800.0,4950.0,5100.0,5250.0
33,0.57,0.0,150.0,300.0,450.0,700.0,750.0,900.0,1050.0,1200.0,1350.0,1550.8153357713188,1650.0,1800.0,1963.7137756008974,2100.0,2250.0,2407.994491601309,2550.0,2700.0,2855.924485884933,3000.0,3150.0,3300.0,3450.0,3600.0,3755.055657785824,3900.0,4060.480579718601,4201.952315256675,4350.0,4500.0,4650.0,4800.0,4950.0,5127.459266739463,5250.0
34,0.576,0.0,190.0787086117493,300.0,450.0,600.0,750.0,900.0,1050.0,1200.0,1350.0,1556.6218707698927,1650.0,1800.0,1960.0655125944645,2103.098451230016,2250.0,2404.8732075219386,2550.0,2700.0,2854.801823922777,3000.0,3150.0,3304.089386926151,3450.0,3600.0,3752.6403018625997,3900.0,4050.0,4202.101480653082,4350.0,4500.0,4682.603181927024,4800.0,4950.0,5100.0,5250.0
35,0.582,0.0,167.7097873821753,300.0,450.0,647.3787486819815,750.0,900.0,1050.0,1200.0964615588864,1350.0,1530.7428479172452,1650.0,1800.0,1950.0,2102.6272439751206,2250.0,2405.353142142248,2550.0,2700.0,2853.8526684902076,3000.0,3150.0,3307.1601781685545,3450.0,3600.0,3750.0,3900.0,4050.0,4200.0,4350.0,4500.0,4650.0,4800.0,4950.0,5100.0,5250.0
36,0.587,0.0,150.0,300.0,450.0,600.0,750.0,900.0,1079.7195543920745,1200.0,1350.0,1545.1079934830238,1650.0,1800.0,1950.0,2100.0,2250.0,2400.0,2550.0,2700.0,2855.2752777668893,3000.0,3150.0,3306.4647592894244,3450.0,3600.0,3753.4607441139397,3900.0,4050.0,4200.0,4350.0,4500.0,4674.218886019807,4800.0,5004.87371560609,5137.562734796289,5250.0
37,0.593,0.0,150.0,300.0,450.0,600.0,751.7243399176585,900.0,1073.620721935658,1200.0,1350.0,1530.6072817077027,1650.0,1800.0,1950.0,2103.710351643219,2250.0,2400.0,2550.0,2700.0,2856.7226483900895,3000.0,3150.0,3305.310454309758,3450.0,3600.0,3750.0,3900.0,4050.0,4200.0,4350.0,4500.0,4723.03923181731,4800.0,4950.0,5100.0,5250.0
38,0.598,0.0,150.0,300.0,450.0,600.0,750.0,900.0,1083.384977743007,1200.0,1350.0,1522.3393367248407,1650.0,1800.0,1954.1183922400194,2100.0,2250.0,2400.0,2550.0,2700.0,2853.4608473928292,3000.0,3150.0,3300.0,3450.0,3600.0,3753.3974316743547,3900.0,4050.0,4201.496200238252,4350.0,4548.705550807922,4650.0,4815.283878482515,4950.0,5133.680259202208,5250.0
39,0.604,0.0,192.4131544468855,300.0,451.0737742081214,645.8472671367944,750.0,900.0,1079.8036848830861,1200.0896372763245,1350.0,1500.0,1650.0,1800.0,1957.5360537464708,2100.0,2250.0,2400.0,2550.0,2700.0,2854.706560075078,3000.0,3150.0,3304.2134133824716,3450.0,3600.0,3755.6687845720435,3900.0,4050.0,4202.954299200098,4350.0,4500.0,4650.0,4800.0,4950.0,5100.0,5250.0
40,0.609,0.0,150.0,300.0,450.0,634.3977930447682,750.0,900.0,1126.267511862004,1200.0,1350.0,1556.501901893182,1650.0,1800.0,1950.0,2100.0,2250.0,2403.439372259903,2550.0,2700.0,2857.364233289829,3000.0,3150.0,3300.0,3450.0,3600.0,3750.0,3900.0,4050.0,4202.846058681798,4350.0,4500.0,4650.0,4800.0,4950.0,5100.0,5250.0
41,0.615,0.0,150.0,300.0,450.0,651.3468387760856,750.0,900.0,1089.5885427320384,1200.0,1350.0,1527.6415904056046,1650.0,1800.0,1958.3712082086217,2100.0,2250.0,2404.614520571289,2550.0,2700.0,2850.0,3000.0,3150.0,3305.115775043572,3450.0,3600.0,3750.0,3900.0,4050.0,4200.0,4350.0,4500.0,4650.0,4800.0,4950.0,5100.0,5250.0
42,0.62,0.0,175.3709436714047,300.0,450.0,600.0,750.0,900.0,1093.1462777374045,1200.0,1350.0,1500.0,1650.0,1800.0,1955.8115008063212,2100.0,2250.0,2400.0,2550.0,2700.0,2850.0,3000.0,3150.0,3303.49042421388,3450.0,3600.0,3755.4087200870285,3900.0,4050.0,4203.385729938782,4350.0,4500.0,4673.916216058208,4800.0,4950.0,5100.0,5250.0
