Sample,Area
NI_1hr_1.d ,20561436.68
NI_1hr_2.d ,21674018.23
NI_2hr_1.d ,20257171.74
NI_2hr_2.d ,21740747.6
NI_2hr_3.d ,19924828.2
NI_30min_1.d ,22156714.34
NI_30min_2.d ,20961620.58
NI_30min_3.d ,20999049.57
NI_4hr_1.d ,23053853.97
NI_4hr_2.d ,22435177.39
NI_4hr_3.d ,21324505.84
no_inj.d ,2216.58
no_inj.d ,1532.02
no_inj.d ,483.3
no_inj.d ,45070.47
no_inj.d ,45526.05
no_inj.d ,1213.79
no_inj.d ,377.05
no_inj_2.d ,519.25
no_inj_3.d ,265559.07
no_inj_4.d ,134919.39
PI_0min_2.d ,21908151.72
PI_1hr_1.d ,23177332.63
PI_1hr_2.d ,20917658.72
PI_1hr_3.d ,22097635.92
PI_2hr_1.d ,19472720.04
PI_2hr_2.d ,19757736.19
PI_2hr_3.d ,20901023.87
PI_30min_1.d ,23455696.49
PI_30min_2.d ,23512124.18
PI_30min_3.d ,25442886.19
PI_4hr_1.d ,20176558.11
PI_4hr_2.d ,22919638.99
PI_4hr_3.d ,22964320.55
std_0.d ,1353.06
std_1.d ,6755.66
std_2.d ,2708.67
std_3.d ,3651.53
std_4.d ,8740.77
std_5.d ,2375.55
