"D:\Projects\Marchand\Data\Carothers\240313_hydrogel\STD_0.d"," -ESI EIC(191.0191) Scan Frag=175.0V STD_0.d "
"D:\Projects\Marchand\Data\Carothers\240313_hydrogel\STD_0.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\240313_hydrogel\STD_0.d" ,"1" ,0.893,0.912,0.926,413.11,218.15,0.00,0.02,0.00,0.009,,0.00,0.00,,,,,0.00,0.00,1.19,0.00,,,  ,248.9683,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240313_hydrogel\STD_0.d" ,"2" ,0.926,1.026,1.039,387.96,200.68,0.00,0.02,0.00,0.009,,0.00,0.00,,,,,0.00,0.00,0.81,604.99,,,  ,248.9683,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240313_hydrogel\STD_0.d" ,"3" ,1.039,1.111,1.125,437.21,199.29,0.00,0.03,0.00,0.008,,0.00,0.00,,,,,0.00,0.00,1.13,0.00,,,  ,248.9683,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240313_hydrogel\STD_0.d" ,"4" ,1.125,1.165,1.178,437.66,211.80,0.00,0.03,0.00,0.008,,0.00,0.00,,,,,0.00,0.00,0.83,638.01,,,  ,248.9683,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240313_hydrogel\STD_0.d" ,"5" ,1.396,1.416,1.442,448.96,286.44,0.00,0.03,0.00,0.011,,0.00,0.00,,,,,0.00,0.00,0.57,0.00,,,  ,248.9683,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240313_hydrogel\STD_0.d" ,"6" ,1.442,1.482,1.502,160.23,70.67,0.00,0.01,0.00,0.007,,0.00,0.00,,,,,0.00,0.00,1.04,0.00,,,  ,248.9683,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240313_hydrogel\STD_0.d" ,"7" ,4.548,4.708,6.587,1669333.73,64251497.30,100.00,100.00,100.00,2.039,,15674.40,89819.03,,,,,15674.40,-20333.90,,1682170.63,,,MM,,,,,M,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\240313_hydrogel\STD_1.d"," -ESI EIC(191.0191) Scan Frag=175.0V STD_1.d "
"D:\Projects\Marchand\Data\Carothers\240313_hydrogel\STD_1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\240313_hydrogel\STD_1.d" ,"1" ,0.835,0.853,0.868,319.40,172.70,0.00,0.11,0.00,0.009,,0.00,0.00,,,,,0.00,0.00,1.24,0.00,,,  ,248.9683,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240313_hydrogel\STD_1.d" ,"2" ,0.868,0.980,0.990,260.78,226.70,0.00,0.09,0.00,0.014,,0.00,0.00,,,,,0.00,0.00,3.04,0.00,,,  ,248.9683,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240313_hydrogel\STD_1.d" ,"3" ,0.990,1.046,1.060,291.95,275.51,0.00,0.10,0.00,0.016,,0.00,0.00,,,,,0.00,0.00,3.33,0.00,,,  ,248.9683,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240313_hydrogel\STD_1.d" ,"4" ,1.060,1.196,1.238,216.86,512.73,0.00,0.07,0.00,0.039,,0.00,0.00,,,,,0.00,0.00,1.99,0.00,,,  ,248.9683,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240313_hydrogel\STD_1.d" ,"5" ,1.238,1.278,1.291,155.97,71.06,0.00,0.05,0.00,0.008,,0.00,0.00,,,,,0.00,0.00,0.89,215.19,,,  ,248.9683,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240313_hydrogel\STD_1.d" ,"6" ,1.291,1.450,1.463,151.66,67.69,0.00,0.05,0.00,0.007,,0.00,0.00,,,,,0.00,0.00,0.92,0.00,,,  ,248.9683,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240313_hydrogel\STD_1.d" ,"7" ,1.463,1.490,1.503,159.71,70.27,0.00,0.05,0.00,0.007,,0.00,0.00,,,,,0.00,0.00,1.03,0.00,,,  ,248.9683,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240313_hydrogel\STD_1.d" ,"8" ,4.782,4.987,6.589,292781.78,17995667.75,100.00,100.00,99.99,1.806,,13004.15,17310.84,,,,,13004.15,17310.83,,306274.69,,,MM,,,,,M,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\240313_hydrogel\STD_2.d"," -ESI EIC(191.0191) Scan Frag=175.0V STD_2.d "
"D:\Projects\Marchand\Data\Carothers\240313_hydrogel\STD_2.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\240313_hydrogel\STD_2.d" ,"1" ,0.848,0.881,0.895,412.74,366.23,0.00,0.07,0.00,0.015,,0.00,0.00,,,,,0.00,0.00,2.93,0.00,,,  ,248.9683,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240313_hydrogel\STD_2.d" ,"2" ,0.895,0.968,0.981,207.38,238.20,0.00,0.04,0.00,0.019,,0.00,0.00,,,,,0.00,0.00,3.26,308.00,,,  ,248.9683,,,,,,,,,,,,
