Sample Name,Sample Position,Method,Data File
gel_2hr_1,P3-A1,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/240729_hydrogel/gel_2hr_1
gel_2hr_2,P3-A2,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/240729_hydrogel/gel_2hr_2
gel_2hr_3,P3-A3,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/240729_hydrogel/gel_2hr_3
gel_2hr_4,P3-A4,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/240729_hydrogel/gel_2hr_4
liq_2hr_1,P3-A5,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/240729_hydrogel/liq_2hr_1
liq_2hr_2,P3-A6,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/240729_hydrogel/liq_2hr_2
liq_2hr_3,P3-A7,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/240729_hydrogel/liq_2hr_3
gel_4hr_1,P3-B1,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/240729_hydrogel/gel_4hr_1
gel_4hr_2,P3-B2,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/240729_hydrogel/gel_4hr_2
gel_4hr_3,P3-B3,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/240729_hydrogel/gel_4hr_3
gel_4hr_4,P3-B4,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/240729_hydrogel/gel_4hr_4
liq_4hr_1,P3-B5,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/240729_hydrogel/liq_4hr_1
liq_4hr_2,P3-B6,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/240729_hydrogel/liq_4hr_2
liq_4hr_3,P3-B7,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/240729_hydrogel/liq_4hr_3
gel_6hr_1,P3-C1,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/240729_hydrogel/gel_6hr_1
gel_6hr_2,P3-C2,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/240729_hydrogel/gel_6hr_2
gel_6hr_3,P3-C3,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/240729_hydrogel/gel_6hr_3
gel_6hr_4,P3-C4,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/240729_hydrogel/gel_6hr_4
liq_6hr_1,P3-C5,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/240729_hydrogel/liq_6hr_1
liq_6hr_2,P3-C6,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/240729_hydrogel/liq_6hr_2
liq_6hr_3,P3-C7,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/240729_hydrogel/liq_6hr_3
gel_8hr_1,P3-D1,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/240729_hydrogel/gel_8hr_1
gel_8hr_2,P3-D2,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/240729_hydrogel/gel_8hr_2
gel_8hr_3,P3-D3,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/240729_hydrogel/gel_8hr_3
gel_8hr_4,P3-D4,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/240729_hydrogel/gel_8hr_4
liq_8hr_1,P3-D5,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/240729_hydrogel/liq_8hr_1
liq_8hr_2,P3-D6,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/240729_hydrogel/liq_8hr_2
liq_8hr_3,P3-D7,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/240729_hydrogel/liq_8hr_3
gel_24hr_1,P3-E1,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/240729_hydrogel/gel_24hr_1
gel_24hr_2,P3-E2,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/240729_hydrogel/gel_24hr_2
gel_24hr_3,P3-E3,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/240729_hydrogel/gel_24hr_3
gel_24hr_4,P3-E4,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/240729_hydrogel/gel_24hr_4
liq_24hr_1,P3-E5,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/240729_hydrogel/liq_24hr_1
liq_24hr_2,P3-E6,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/240729_hydrogel/liq_24hr_2
liq_24hr_3,P3-E7,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/240729_hydrogel/liq_24hr_3
gel_single_rxn_24hr_1,P3-F1,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/240729_hydrogel/gel_single_rxn_24hr_1
gel_single_rxn_24hr_2,P3-F2,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/240729_hydrogel/gel_single_rxn_24hr_2
gel_single_rxn_24hr_3,P3-F3,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/240729_hydrogel/gel_single_rxn_24hr_3
liq_single_rxn_24hr_1,P3-F5,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/240729_hydrogel/liq_single_rxn_24hr_1
liq_single_rxn_24hr_2,P3-F6,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/240729_hydrogel/liq_single_rxn_24hr_2
liq_single_rxn_24hr_3,P3-F7,Carothers/BEHamide_A2B2_95to60organic.m,D:/Projects/Marchand/Data/Carothers/240729_hydrogel/liq_single_rxn_24hr_3
