,1,2,3,4,5,6,7,8,9,10,11,12
A,ME1,,,ME1ATPDIM,,,ME1ATPNIL,,,PYC,PYC,PYC
B,ME5,,,ME5ATPDIM,,,ME5ATPNIL,,,PYCN,PYCN,PYCN
C,ME1COADIM,,,ME1COANIL,,,ME1NADHDIM,,,ME1NADHNIL,,
D,ME5COADIM,,,ME5COANIL,,,ME5NADHDIM,,,ME5NADHNIL,,
E,PYC,PYC,PYC,PYCN,PYCN,PYCN,ME1BCDIM,,,ME1BCNIL,,
F,PYC,PYC,PYC,PYCN,PYCN,PYCN,ME5BCDIM,,,ME5BCNIL,,
G,,,,,,,,,,,,
H,Std_1,Std_2,Std_3,Std_4,Std_5,,,,,,,
