,1,2,3,4,5,6,7,8,9,10,11,12
A,mod1,mod1,mod3-full,mod3-full,,,,,,,,
B,mod1-neg,mod1-neg,mod3-neg,mod3-neg,,,,,,,,
C,glyA,glyA,,,,,,,,,,
D,glyA-neg,glyA-neg,,,,,,,,,,
E,sds,sds,,,,,,,,,,
F,sds-neg,sds-neg,,,,,,,,,,
G,pyc,pyc,,,,,,,,,,
H,pyc-neg,pyc-neg,,,,,,,,,,
