,1,2,3,4,5,6,7,8,9,10,11,12
A,pyc_ctrl,,,,,,,,,,,
B,sds_ctrl,,,,,,,,,,,
C,mod1_glyA,,,,,,,,,,,
D,mod1_sds,,,,,,,,,,,
E,std,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
