Sample Name,Sample Position,Method,Data File
mod1_sds_neg_3,P3-E6,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230425_mod1/mod1_sds_neg_3
mod3_1,P3-E7,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230425_mod1/mod3_1
mod3_2,P3-E8,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230425_mod1/mod3_2
mod3_3,P3-E9,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230425_mod1/mod3_3
sds_neg_1,P3-F1,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230425_mod1/sds_neg_1
sds_neg_2,P3-F2,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230425_mod1/sds_neg_2
sds_neg_3,P3-F3,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230425_mod1/sds_neg_3
mod3_neg_1,P3-F7,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230425_mod1/mod3_neg_1
mod3_neg_2,P3-F8,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230425_mod1/mod3_neg_2
mod3_neg_3,P3-F9,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230425_mod1/mod3_neg_3
mod1_ctrl_1,P3-G1,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230425_mod1/mod1_ctrl_1
mod1_ctrl_2,P3-G2,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230425_mod1/mod1_ctrl_2
mod1_ctrl_3,P3-G3,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230425_mod1/mod1_ctrl_3
mod1_neg_1,P3-H1,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230425_mod1/mod1_neg_1
mod1_neg_2,P3-H2,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230425_mod1/mod1_neg_2
mod1_neg_3,P3-H3,Carothers/BEHamide_A1B1_95to60organic.m,D:/Projects/Marchand/Data/Carothers/230425_mod1/mod1_neg_3
